train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
C,MARISMA,latent,0.21771045628101046,0.06534182112669347,0.21771045628101046,0.8382585893413612,0.5696864878878067,"[[   0    0    5    0    0   15]
 [   0    0   63    0    0  118]
 [   0    0  164    0    0  153]
 [   0    0 1193    0    0 1981]
 [   0    0   98    0    0  214]
 [   0    0   99    0    0  370]]"
C,RKI,latent,0.2572463768115942,0.11447245564892623,0.2572463768115942,0.8450119549438861,0.808234859377189,"[[ 0  0  9  0  0  0]
 [ 0  0 23  2  0 47]
 [ 0  0 12  0  0  0]
 [ 0  0  2  0  0  0]
 [ 0  0 11  0  0  1]
 [ 0  0 21  0  0 25]]"
C,D (OOD),latent,0.2508160066585651,0.18121495701017695,0.2508160066585651,0.8682132775272079,0.7535524774631007,"[[   0    0  313    0    0  124]
 [   0    0   46    0    0  125]
 [   0    0 1112    0    0  886]
 [   0    0 1492    0    0  659]
 [   0    0  131    0    0  213]
 [   0    0  112    0    0 2056]]"
C,MSUMG (OOD),latent,0.1550002382187424,0.06031649527508313,0.1550002382187424,0.8314425181490731,0.5324842895312113,"[[   0 1254    0    0  230  126]
 [   0 1383    0    0  643   89]
 [   0 8268    0    0 1916  857]
 [   0 2324    0    0  504  341]
 [   0 2443    0    0  877  327]
 [   0 4765    0    0 1704  239]]"
MARISMA,A,latent,0.43816635449201474,0.34370986504095336,0.43816635449201474,0.8978830358137594,0.8710685178826677,"[[  0   0   3 277   0  16]
 [  0   4   7  32  57 140]
 [  0   0  17 940   4  37]
 [  0   0   1 558   0  15]
 [  0   1   4  86 428 136]
 [  0   0   3  18   2 737]]"
MARISMA,B,latent,0.45,0.3670160435243608,0.45,0.917513264891431,0.9041882809162515,"[[ 0  0  0 19  0  0]
 [ 0  0  0  1  2  6]
 [ 0  0  0 43  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  2 20  6]
 [ 0  0  1  0  0 69]]"
MARISMA,C,latent,0.4374248869175144,0.36122616888986053,0.4374248869175144,0.894553372230768,0.8491687111945737,"[[  0   0   0  35   1   3]
 [  0   2   3   5   5   4]
 [  0   0   1 181   1   3]
 [  0   0   0  70   0   3]
 [  0   0   0   4  49  18]
 [  0   0   0  20   0 128]]"
MARISMA,MARISMA,latent,0.5616659217589597,0.5823245511413379,0.5616659217589597,0.942875759574458,0.9498894292842159,"[[   0    0    0   19    1    0]
 [   0   98    1   61   12    9]
 [   0    3    8  283   14    9]
 [   0    2    0 3160    7    5]
 [   0    0    0   53  258    1]
 [   0    0    0    9    0  460]]"
MARISMA,RKI,latent,0.27697262479871176,0.12570819511135709,0.27697262479871176,0.8500934462384541,0.6572302092177892,"[[ 0  0  0  9  0  0]
 [ 0  2  0 55 14  1]
 [ 0  0  0 12  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  6  5  1]
 [ 0  0  0 36  0 10]]"
MARISMA,D (OOD),latent,0.4667520828200679,0.45236609277919576,0.4667520828200679,0.9076737847377331,0.805073251863402,"[[   0    0    6  426    2    3]
 [   0   31   19   69   40   12]
 [   0    1  195 1709   27   66]
 [   0    0    4 2143    0    4]
 [   0    0   12   82  238   12]
 [   0    0    6  353    2 1807]]"
MARISMA,MSUMG (OOD),latent,0.22618601801420354,0.09907467337383628,0.22618601801420354,0.8413291484855988,0.6214840554498272,"[[   0 1109    0   11  448   42]
 [   0 1474    0    1  395  245]
 [   0 8551    4   75 2002  409]
 [   0 2005    0   34  950  180]
 [   0 1169    0    8 2308  162]
 [   1 5029    0    4 1565  109]]"
RKI,A,latent,0.22228843652216712,0.10636499070174997,0.22228843652216712,0.8429280595594181,0.5643558812608145,"[[  0  97 199   0   0   0]
 [  0 150  89   0   0   1]
 [  0 291 706   0   1   0]
 [  0 235 339   0   0   0]
 [  0 352 302   0   0   1]
 [  0 264 495   0   0   1]]"
RKI,B,latent,0.17011197243755383,0.06172839506172839,0.17011197243755383,0.8319883060437302,0.5361798410983482,"[[ 0  8 11  0  0  0]
 [ 0  5  4  0  0  0]
 [ 0 23 20  0  0  0]
 [ 0 19 12  0  0  0]
 [ 0 16 12  0  0  0]
 [ 0 28 42  0  0  0]]"
RKI,C,latent,0.22349556687417468,0.09120789423819727,0.22349556687417468,0.8449866445611126,0.6345152446049931,"[[  0  20  19   0   0   0]
 [  0  17   2   0   0   0]
 [  0 103  83   0   0   0]
 [  0  49  24   0   0   0]
 [  0  44  27   0   0   0]
 [  0 126  22   0   0   0]]"
RKI,MARISMA,latent,0.17894417053982006,0.031210944235836268,0.17894417053982006,0.8339868835288834,0.5118176940066876,"[[   0   20    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0  294   22    0    0    1]
 [   0 3040   86    0    0   48]
 [   0  301    9    0    0    2]
 [   0  455   12    0    0    2]]"
RKI,RKI,latent,0.30656199677938806,0.29250841750841755,0.30656199677938806,0.8887874197964564,0.8725692749804951,"[[ 0  4  5  0  0  0]
 [ 0 68  0  0  0  4]
 [ 0  7  5  0  0  0]
 [ 0  2  0  0  0  0]
 [ 0 10  2  0  0  0]
 [ 0 24  0  0  0 22]]"
RKI,D (OOD),latent,0.18655309271205564,0.04006478219316519,0.18655309271205564,0.8342567745946945,0.6366292447675459,"[[   0  365   72    0    0    0]
 [   0  168    3    0    0    0]
 [   0 1729  267    0    0    2]
 [   0 1679  472    0    0    0]
 [   0  318   25    0    0    1]
 [   0 2068   93    0    0    7]]"
RKI,MSUMG (OOD),latent,0.1822242076412538,0.0731554978426435,0.1822242076412538,0.8345133477363179,0.593454451428877,"[[   0 1098    0    0   42  470]
 [   0 1784    0    0  245   86]
 [   0 8611    0    0  409 2021]
 [   0 1981    0    0  180 1008]
 [   0 2547    0    0  162  938]
 [   0 5223    0    0  107 1378]]"
