C,Train_Acc,Val_Acc
0.001,0.9996779854681445,0.9980639479560023
0.004641588833612777,0.9998681283737946,0.9982681963220154
0.021544346900318832,0.9998681283737946,0.9977812119456259
0.1,0.9998681283737946,0.9974575873501567
0.46415888336127775,0.9998681283737946,0.9970860314081379
2.154434690031882,0.9998681283737946,0.9968273168111881
10.0,0.9998681283737946,0.9968273168111881
46.41588833612773,0.9998681283737946,0.9968273168111881
215.44346900318823,0.9998681283737946,0.9968273168111881
1000.0,0.9998681283737946,0.9968273168111881
