species,n,P99,P99.5,P99.9
Klebsiella,3169,27.3%,6.5%,0.6%
Escherichia,11041,23.0%,5.4%,0.4%
Staphylococcus,6708,70.0%,23.1%,1.1%
Pseudomonas,3647,72.0%,26.0%,2.1%
Enterococcus,2115,52.4%,16.8%,1.4%
Enterobacter,1610,59.6%,25.8%,4.3%
