species,n,P99,P99.5,P99.9
Klebsiella,2151,100.0%,99.9%,99.8%
Escherichia,1998,100.0%,100.0%,100.0%
Staphylococcus,2168,100.0%,100.0%,100.0%
Pseudomonas,344,100.0%,100.0%,100.0%
Enterococcus,171,100.0%,100.0%,100.0%
Enterobacter,437,100.0%,100.0%,100.0%
