,A,B,C,MARISMA,RKI
A,1.7,100.0,96.5,10.1,100.0
B,5.5,90.0,95.5,5.0,100.0
C,2.1,99.8,50.2,7.1,100.0
MARISMA,9.8,99.6,87.1,0.6,100.0
RKI,38.6,100.0,100.0,6.5,35.9
