species,n,P99,P99.5,P99.9
Klebsiella,3169,88.4%,74.3%,36.3%
Escherichia,11041,55.3%,39.6%,16.6%
Staphylococcus,6708,40.2%,28.9%,11.9%
Pseudomonas,3647,68.4%,51.9%,24.2%
Enterococcus,2115,72.6%,54.9%,30.6%
Enterobacter,1610,60.2%,44.1%,20.2%
