species,n,P99,P99.5,P99.9
Klebsiella,2151,85.7%,67.9%,16.5%
Escherichia,1998,58.1%,42.6%,19.8%
Staphylococcus,2168,20.5%,6.4%,0.5%
Pseudomonas,344,48.8%,36.3%,12.5%
Enterococcus,171,43.9%,19.9%,2.9%
Enterobacter,437,60.2%,29.1%,4.1%
