,A,B,C,MARISMA,RKI
A,4.8,100.0,98.8,61.9,100.0
B,24.5,94.5,97.5,59.5,100.0
C,9.5,100.0,57.5,48.7,100.0
MARISMA,27.1,100.0,92.3,2.7,100.0
RKI,81.7,100.0,100.0,82.4,54.2
