species,n,P99,P99.5,P99.9
Klebsiella,3169,94.3%,94.3%,94.3%
Escherichia,11041,96.3%,96.3%,96.3%
Staphylococcus,6708,98.4%,98.3%,98.2%
Pseudomonas,3647,95.6%,95.6%,95.6%
Enterococcus,2115,88.4%,88.4%,88.4%
Enterobacter,1610,97.4%,97.4%,97.4%
