species,source,n,P99,P99.5,P99.9
Aggregatibacter_Actinomycetemcomitans,DRIAMS,3,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,DRIAMS,36,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,MARISMA,2,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,MS-UMG,4,100.0,100.0,100.0
Aggregatibacter_Segnis,DRIAMS,7,100.0,100.0,85.7
Aggregatibacter_Segnis,MARISMA,3,100.0,100.0,100.0
Alcaligenes_Faecalis,DRIAMS,13,100.0,100.0,100.0
Alcaligenes_Faecalis,MARISMA,20,100.0,100.0,90.0
Alcaligenes_Faecalis,MS-UMG,86,97.7,95.3,93.0
Alcaligenes_Faecalis,RKI,12,100.0,100.0,100.0
Alcaligenes_Species,MS-UMG,1,100.0,100.0,100.0
Aliarcobacter_Butzleri,MARISMA,2,100.0,100.0,100.0
Alkalihalobacillus_Clausii,RKI,22,100.0,100.0,100.0
Alkalihalobacillus_Halodurans,RKI,36,100.0,100.0,100.0
Alkalihalobacillus_Okuhidensis,RKI,12,100.0,100.0,100.0
Allofrancisella_Guangzhouensis,RKI,12,100.0,100.0,100.0
Alloiococcus_Otitis,MARISMA,2,100.0,100.0,100.0
Alloscardovia_Omnicolens,DRIAMS,1,100.0,100.0,0.0
Anaerococcus_Hydrogenalis,DRIAMS,1,100.0,100.0,100.0
Anaerococcus_Murdochii,DRIAMS,7,100.0,100.0,100.0
Anaerococcus_Murdochii,MARISMA,2,100.0,100.0,100.0
Anaerococcus_Sp,DRIAMS,7,100.0,100.0,100.0
Anaerococcus_Vaginalis,DRIAMS,20,100.0,95.0,90.0
Arcanobacterium_Haemolyticum,DRIAMS,1,100.0,100.0,100.0
Arcanobacterium_Haemolyticum,MARISMA,1,100.0,100.0,100.0
Arcobacter_Butzleri,DRIAMS,16,100.0,100.0,100.0
Arthrobacter_Cumminsii,DRIAMS,8,100.0,100.0,100.0
Aspergillus_Fumigatus,MARISMA,6,100.0,100.0,100.0
Aspergillus_Fumigatus,MS-UMG,1,100.0,100.0,100.0
Aspergillus_Nidulans,MARISMA,2,100.0,100.0,100.0
Atopobium_Parvulum,DRIAMS,2,100.0,100.0,100.0
Auritidibacter_Ignavus,MARISMA,1,100.0,100.0,100.0
