species,source,n,P99,P99.5,P99.9
Bacteroides_Fragilis,MARISMA,1,100.0,100.0,100.0
Bacteroides_Fragilis,MS-UMG,5,100.0,100.0,100.0
Bacteroides_Fragilis,RKI,4,100.0,100.0,100.0
Bacteroides_Nordii,MS-UMG,1,100.0,100.0,100.0
Bacteroides_Ovatus,DRIAMS,9,100.0,100.0,100.0
Bacteroides_Pyogenes,DRIAMS,1,100.0,100.0,100.0
Bacteroides_Pyogenes,MARISMA,1,100.0,100.0,100.0
Bacteroides_Stercoris,DRIAMS,1,100.0,100.0,100.0
Bacteroides_Thetaiotaomicron,DRIAMS,9,100.0,100.0,100.0
Bacteroides_Thetaiotaomicron,MARISMA,2,100.0,100.0,100.0
Bacteroides_Thetaiotaomicron,MS-UMG,2,100.0,100.0,100.0
Bacteroides_Uniformis,DRIAMS,7,100.0,100.0,100.0
Bacteroides_Vulgatus,DRIAMS,12,100.0,100.0,100.0
Bartonella_Bacilliformis,RKI,12,100.0,100.0,100.0
Bartonella_Grahamii,RKI,12,100.0,100.0,100.0
Bartonella_Henselae,RKI,36,100.0,100.0,100.0
Bartonella_Quintana,RKI,12,100.0,100.0,100.0
Bartonella_Vinsonii,RKI,12,100.0,100.0,100.0
Bergeyella_Zoohelcum,DRIAMS,11,100.0,100.0,100.0
Bergeyella_Zoohelcum,MS-UMG,1,100.0,100.0,100.0
Bifidobacterium_Breve,DRIAMS,4,100.0,100.0,100.0
Bifidobacterium_Dentium,DRIAMS,10,100.0,100.0,100.0
Bifidobacterium_Longum,DRIAMS,10,100.0,100.0,100.0
Bifidobacterium_Pseudocatenulatum,DRIAMS,4,100.0,100.0,100.0
Bilophila_Wadsworthia,DRIAMS,3,100.0,100.0,100.0
Bordetella_Bronchiseptica,DRIAMS,1,100.0,100.0,100.0
Bordetella_Bronchiseptica,MARISMA,1,100.0,100.0,100.0
Bordetella_Hinzii,MARISMA,2,100.0,100.0,100.0
Bordetella_Holmesii,MARISMA,2,100.0,100.0,100.0
Bordetella_Petrii,DRIAMS,2,100.0,100.0,100.0
Bordetella_Trematum,DRIAMS,2,100.0,100.0,100.0
Bordetella_Trematum,MS-UMG,1,100.0,100.0,100.0
Brevibacillus_Brevis,DRIAMS,1,100.0,100.0,100.0
Brevibacillus_Parabrevis,RKI,8,100.0,100.0,100.0
Brevibacillus_Porteri,RKI,16,100.0,100.0,100.0
Brevibacillus_Sp,RKI,40,100.0,100.0,100.0
Brevibacterium_Casei,DRIAMS,3,100.0,100.0,100.0
Brevibacterium_Celere,DRIAMS,1,100.0,100.0,100.0
Brevibacterium_Paucivorans,DRIAMS,4,100.0,100.0,100.0
Brevibacterium_Ravenspurgense,DRIAMS,6,100.0,100.0,100.0
Brevibacterium_Ravenspurgense,MARISMA,2,100.0,100.0,100.0
Brevundimonas_Aurantiaca,MS-UMG,3,33.3,33.3,33.3
Brevundimonas_Diminuta,DRIAMS,4,100.0,100.0,100.0
Brevundimonas_Diminuta,MS-UMG,5,100.0,100.0,100.0
Brevundimonas_Diminuta/vesicularis,MS-UMG,2,50.0,50.0,50.0
Brucella_Abortus,RKI,273,100.0,100.0,100.0
Brucella_Canis,RKI,78,100.0,100.0,100.0
Brucella_Ceti,RKI,92,100.0,100.0,100.0
Brucella_Inopinata,RKI,20,100.0,100.0,100.0
Brucella_Intermedia,RKI,12,100.0,100.0,100.0
Brucella_Melitensis,RKI,171,100.0,100.0,100.0
Brucella_Microtii,RKI,41,100.0,100.0,100.0
Brucella_Neotomae,RKI,56,100.0,100.0,100.0
Brucella_Ovis,RKI,66,100.0,100.0,100.0
Brucella_Pinnipedalis,RKI,54,100.0,100.0,100.0
Brucella_Sp,RKI,102,100.0,100.0,100.0
Brucella_Suis,RKI,96,100.0,100.0,100.0
Brucella_Vulpis,RKI,12,100.0,100.0,100.0
Burkholderia_Ambifaria,DRIAMS,5,100.0,100.0,100.0
Burkholderia_Ambifaria,RKI,37,100.0,100.0,100.0
Burkholderia_Anthina,DRIAMS,2,100.0,100.0,100.0
Burkholderia_Anthina,RKI,11,100.0,100.0,100.0
Burkholderia_Arboris,RKI,16,100.0,100.0,100.0
Burkholderia_Cenocepacia,DRIAMS,6,100.0,100.0,100.0
Burkholderia_Cenocepacia,RKI,58,100.0,100.0,100.0
Burkholderia_Cepacia,DRIAMS,3,100.0,100.0,100.0
Burkholderia_Cepacia,MS-UMG,6,100.0,100.0,100.0
Burkholderia_Cepacia,RKI,29,100.0,100.0,100.0
Burkholderia_Contaminans,RKI,235,100.0,100.0,100.0
Burkholderia_Diffusa,RKI,24,100.0,100.0,100.0
Burkholderia_Dolosa,RKI,31,100.0,100.0,100.0
Burkholderia_Gladioli,DRIAMS,5,100.0,100.0,100.0
Burkholderia_Gladioli,MS-UMG,6,100.0,100.0,100.0
Burkholderia_Gladioli,RKI,12,100.0,100.0,100.0
Burkholderia_Glumae,RKI,6,100.0,100.0,100.0
Burkholderia_Lata,RKI,28,100.0,100.0,100.0
Burkholderia_Latens,DRIAMS,1,100.0,100.0,100.0
Burkholderia_Latens,RKI,12,100.0,100.0,100.0
Burkholderia_Mallei,RKI,554,100.0,100.0,100.0
Burkholderia_Metallica,RKI,16,100.0,100.0,100.0
Burkholderia_Multivorans,DRIAMS,10,100.0,100.0,100.0
Burkholderia_Multivorans,RKI,38,100.0,100.0,100.0
Burkholderia_Oklahomensis,RKI,18,100.0,100.0,100.0
Burkholderia_Plantarii,RKI,6,100.0,100.0,100.0
Burkholderia_Pseudomallei,RKI,160,100.0,100.0,100.0
Burkholderia_Pseudomultivorans,RKI,36,100.0,100.0,100.0
Burkholderia_Puraquae,RKI,112,100.0,100.0,100.0
Burkholderia_Pyrrocinia,RKI,20,100.0,100.0,100.0
Burkholderia_Seminalis,RKI,6,100.0,100.0,100.0
Burkholderia_Stabilis,RKI,47,100.0,100.0,100.0
Burkholderia_Stagnalis,RKI,24,100.0,100.0,100.0
Burkholderia_Territorii,RKI,24,100.0,100.0,100.0
Burkholderia_Thailandensis,RKI,85,100.0,100.0,100.0
Burkholderia_Tropica,MS-UMG,1,100.0,100.0,100.0
Burkholderia_Ubonensis,RKI,16,100.0,100.0,100.0
