species,n,P99,P99.5,P99.9
Klebsiella,2151,99.7%,99.6%,99.1%
Escherichia,1998,93.2%,91.1%,88.0%
Staphylococcus,2168,97.4%,96.1%,93.8%
Pseudomonas,344,97.1%,96.5%,95.3%
Enterococcus,171,100.0%,100.0%,100.0%
Enterobacter,437,97.5%,97.0%,95.7%
