percentile_gmm,percentile_recon,GMM_total,GMM_kept,GMM_discarded,GMM_cov,GMM_BA,GMM_F1,GMM_Precision,GMM_Recall,GMM_Specificity,GMM_ROC AUC,Decoder A_total,Decoder A_kept,Decoder A_discarded,Decoder A_cov,Decoder A_BA,Decoder A_F1,Decoder A_Precision,Decoder A_Recall,Decoder A_Specificity,Decoder A_ROC AUC,MARISMA_total,MARISMA_kept,MARISMA_discarded,MARISMA_cov,MARISMA_BA,MARISMA_F1,MARISMA_Precision,MARISMA_Recall,MARISMA_Specificity,MARISMA_ROC AUC,Intersection (3 agree)_total,Intersection (3 agree)_kept,Intersection (3 agree)_discarded,Intersection (3 agree)_cov,Intersection (3 agree)_BA,Intersection (3 agree)_F1,Intersection (3 agree)_Precision,Intersection (3 agree)_Recall,Intersection (3 agree)_Specificity,Intersection (3 agree)_ROC AUC,Union (at least 1 agrees)_total,Union (at least 1 agrees)_kept,Union (at least 1 agrees)_discarded,Union (at least 1 agrees)_cov,Union (at least 1 agrees)_BA,Union (at least 1 agrees)_F1,Union (at least 1 agrees)_Precision,Union (at least 1 agrees)_Recall,Union (at least 1 agrees)_Specificity,Union (at least 1 agrees)_ROC AUC
0.01,99.99,28290,28290,0,100.0,0.95,0.965,0.983,0.95,0.992,0.988,28290,28290,0,100.0,0.95,0.965,0.983,0.95,0.992,0.988,28290,28191,99,99.7,0.95,0.966,0.984,0.95,0.992,0.988,28290,28290,0,100.0,0.95,0.965,0.983,0.95,0.992,0.988,28290,28191,99,99.7,0.95,0.966,0.984,0.95,0.992,0.988
0.05,99.95,28290,27143,1147,95.9,0.992,0.993,0.993,0.992,0.999,1.0,28290,24523,3767,86.7,0.995,0.996,0.996,0.995,0.999,1.0,28290,28148,142,99.5,0.95,0.966,0.984,0.95,0.992,0.988,28290,28290,0,100.0,0.95,0.965,0.983,0.95,0.992,0.988,28290,24521,3769,86.7,0.995,0.996,0.996,0.995,0.999,1.0
0.1,99.9,28290,24814,3476,87.7,0.997,0.998,0.998,0.997,1.0,1.0,28290,22660,5630,80.1,0.995,0.996,0.996,0.995,0.999,1.0,28290,27975,315,98.9,0.95,0.966,0.984,0.95,0.992,0.988,28290,28131,159,99.4,0.951,0.966,0.984,0.951,0.992,0.988,28290,20997,7293,74.2,0.998,0.998,0.998,0.998,1.0,1.0
0.5,99.5,28290,7350,20940,26.0,0.996,0.997,0.997,0.996,1.0,0.999,28290,15858,12432,56.1,0.996,0.995,0.995,0.996,1.0,0.999,28290,24224,4066,85.6,0.944,0.964,0.986,0.944,0.991,0.988,28290,24790,3500,87.6,0.945,0.964,0.986,0.945,0.991,0.988,28290,4259,24031,15.1,0.999,0.998,0.997,0.999,1.0,1.0
1.0,99.0,28290,2646,25644,9.4,0.998,0.998,0.999,0.998,0.999,0.999,28290,11687,16603,41.3,0.995,0.993,0.991,0.995,0.999,0.999,28290,15497,12793,54.8,0.897,0.936,0.985,0.897,0.982,0.984,28290,18647,9643,65.9,0.916,0.947,0.985,0.916,0.987,0.982,28290,679,27611,2.4,0.998,0.999,0.999,0.998,1.0,0.999
