species,n_total,percentile,GMM_n_ood,GMM_n_indist,GMM_pct_ood,Decoder A_n_ood,Decoder A_n_indist,Decoder A_pct_ood,MARISMA_n_ood,MARISMA_n_indist,MARISMA_pct_ood,Intersection (3 agree)_n_ood,Intersection (3 agree)_n_indist,Intersection (3 agree)_pct_ood,Union (at least 1 agrees)_n_ood,Union (at least 1 agrees)_n_indist,Union (at least 1 agrees)_pct_ood
Streptococcus_Anginosus,888,0.5,886,2,99.8,756,132,85.1,639,249,72.0,615,273,69.3,888,0,100.0
Streptococcus_Anginosus,888,1.0,888,0,100.0,788,100,88.7,705,183,79.4,664,224,74.8,888,0,100.0
Streptococcus_Canis,20,0.01,0,20,0.0,0,20,0.0,15,5,75.0,0,20,0.0,15,5,75.0
Streptococcus_Canis,20,0.05,0,20,0.0,17,3,85.0,17,3,85.0,0,20,0.0,17,3,85.0
Streptococcus_Canis,20,0.1,5,15,25.0,18,2,90.0,19,1,95.0,4,16,20.0,19,1,95.0
Streptococcus_Canis,20,0.5,20,0,100.0,19,1,95.0,19,1,95.0,19,1,95.0,20,0,100.0
Streptococcus_Canis,20,1.0,20,0,100.0,19,1,95.0,20,0,100.0,19,1,95.0,20,0,100.0
Streptococcus_Constellatus,420,0.01,0,420,0.0,0,420,0.0,125,295,29.8,0,420,0.0,125,295,29.8
Streptococcus_Constellatus,420,0.05,60,360,14.3,299,121,71.2,146,274,34.8,6,414,1.4,301,119,71.7
Streptococcus_Constellatus,420,0.1,323,97,76.9,326,94,77.6,204,216,48.6,136,284,32.4,405,15,96.4
Streptococcus_Constellatus,420,0.5,420,0,100.0,356,64,84.8,294,126,70.0,293,127,69.8,420,0,100.0
Streptococcus_Constellatus,420,1.0,420,0,100.0,375,45,89.3,334,86,79.5,321,99,76.4,420,0,100.0
Streptococcus_Cristatus,21,0.01,1,20,4.8,0,21,0.0,18,3,85.7,0,21,0.0,18,3,85.7
Streptococcus_Cristatus,21,0.05,7,14,33.3,19,2,90.5,19,2,90.5,7,14,33.3,19,2,90.5
Streptococcus_Cristatus,21,0.1,21,0,100.0,21,0,100.0,20,1,95.2,20,1,95.2,21,0,100.0
Streptococcus_Cristatus,21,0.5,21,0,100.0,21,0,100.0,21,0,100.0,21,0,100.0,21,0,100.0
Streptococcus_Cristatus,21,1.0,21,0,100.0,21,0,100.0,21,0,100.0,21,0,100.0,21,0,100.0
Streptococcus_Dysgalactiae,726,0.01,0,726,0.0,0,726,0.0,192,534,26.4,0,726,0.0,192,534,26.4
Streptococcus_Dysgalactiae,726,0.05,113,613,15.6,486,240,66.9,218,508,30.0,2,724,0.3,486,240,66.9
Streptococcus_Dysgalactiae,726,0.1,596,130,82.1,533,193,73.4,275,451,37.9,154,572,21.2,720,6,99.2
Streptococcus_Dysgalactiae,726,0.5,723,3,99.6,619,107,85.3,460,266,63.4,455,271,62.7,726,0,100.0
Streptococcus_Dysgalactiae,726,1.0,726,0,100.0,649,77,89.4,551,175,75.9,536,190,73.8,726,0,100.0
Streptococcus_Gallolyticus,334,0.01,0,334,0.0,0,334,0.0,198,136,59.3,0,334,0.0,198,136,59.3
Streptococcus_Gallolyticus,334,0.05,23,311,6.9,274,60,82.0,222,112,66.5,2,332,0.6,276,58,82.6
Streptococcus_Gallolyticus,334,0.1,139,195,41.6,284,50,85.0,246,88,73.7,67,267,20.1,324,10,97.0
Streptococcus_Gallolyticus,334,0.5,325,9,97.3,299,35,89.5,282,52,84.4,269,65,80.5,334,0,100.0
Streptococcus_Gallolyticus,334,1.0,334,0,100.0,300,34,89.8,294,40,88.0,281,53,84.1,334,0,100.0
Streptococcus_Gordonii,101,0.01,1,100,1.0,0,101,0.0,51,50,50.5,0,101,0.0,51,50,50.5
Streptococcus_Gordonii,101,0.05,23,78,22.8,77,24,76.2,57,44,56.4,13,88,12.9,77,24,76.2
Streptococcus_Gordonii,101,0.1,77,24,76.2,82,19,81.2,63,38,62.4,52,49,51.5,91,10,90.1
Streptococcus_Gordonii,101,0.5,100,1,99.0,94,7,93.1,82,19,81.2,81,20,80.2,101,0,100.0
Streptococcus_Gordonii,101,1.0,101,0,100.0,96,5,95.0,87,14,86.1,86,15,85.1,101,0,100.0
Streptococcus_Infantis,12,0.01,0,12,0.0,0,12,0.0,11,1,91.7,0,12,0.0,11,1,91.7
Streptococcus_Infantis,12,0.05,1,11,8.3,12,0,100.0,12,0,100.0,1,11,8.3,12,0,100.0
Streptococcus_Infantis,12,0.1,7,5,58.3,12,0,100.0,12,0,100.0,7,5,58.3,12,0,100.0
Streptococcus_Infantis,12,0.5,10,2,83.3,12,0,100.0,12,0,100.0,10,2,83.3,12,0,100.0
Streptococcus_Infantis,12,1.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Streptococcus_Intermedius,231,0.01,1,230,0.4,0,231,0.0,95,136,41.1,0,231,0.0,95,136,41.1
Streptococcus_Intermedius,231,0.05,18,213,7.8,155,76,67.1,107,124,46.3,8,223,3.5,157,74,68.0
Streptococcus_Intermedius,231,0.1,154,77,66.7,173,58,74.9,137,94,59.3,90,141,39.0,215,16,93.1
Streptococcus_Intermedius,231,0.5,228,3,98.7,194,37,84.0,186,45,80.5,178,53,77.1,231,0,100.0
Streptococcus_Intermedius,231,1.0,229,2,99.1,202,29,87.4,205,26,88.7,191,40,82.7,231,0,100.0
Streptococcus_Lutetiensis,16,0.01,0,16,0.0,0,16,0.0,12,4,75.0,0,16,0.0,12,4,75.0
Streptococcus_Lutetiensis,16,0.05,1,15,6.2,14,2,87.5,14,2,87.5,1,15,6.2,14,2,87.5
Streptococcus_Lutetiensis,16,0.1,13,3,81.2,16,0,100.0,16,0,100.0,13,3,81.2,16,0,100.0
Streptococcus_Lutetiensis,16,0.5,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0
Streptococcus_Lutetiensis,16,1.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0
Streptococcus_Massiliensis,22,0.01,0,22,0.0,0,22,0.0,13,9,59.1,0,22,0.0,13,9,59.1
Streptococcus_Massiliensis,22,0.05,1,21,4.5,17,5,77.3,14,8,63.6,0,22,0.0,17,5,77.3
Streptococcus_Massiliensis,22,0.1,18,4,81.8,19,3,86.4,15,7,68.2,12,10,54.5,21,1,95.5
Streptococcus_Massiliensis,22,0.5,22,0,100.0,20,2,90.9,18,4,81.8,18,4,81.8,22,0,100.0
Streptococcus_Massiliensis,22,1.0,22,0,100.0,21,1,95.5,21,1,95.5,20,2,90.9,22,0,100.0
Streptococcus_Mitis,156,0.01,0,156,0.0,0,156,0.0,136,20,87.2,0,156,0.0,136,20,87.2
Streptococcus_Mitis,156,0.05,7,149,4.5,145,11,92.9,141,15,90.4,7,149,4.5,145,11,92.9
Streptococcus_Mitis,156,0.1,81,75,51.9,149,7,95.5,149,7,95.5,77,79,49.4,153,3,98.1
Streptococcus_Mitis,156,0.5,151,5,96.8,152,4,97.4,155,1,99.4,147,9,94.2,156,0,100.0
Streptococcus_Mitis,156,1.0,155,1,99.4,153,3,98.1,156,0,100.0,152,4,97.4,156,0,100.0
Streptococcus_Mitis/oralis,446,0.01,0,446,0.0,0,446,0.0,44,402,9.9,0,446,0.0,44,402,9.9
Streptococcus_Mitis/oralis,446,0.05,111,335,24.9,277,169,62.1,65,381,14.6,0,446,0.0,277,169,62.1
Streptococcus_Mitis/oralis,446,0.1,381,65,85.4,304,142,68.2,108,338,24.2,95,351,21.3,408,38,91.5
Streptococcus_Mitis/oralis,446,0.5,445,1,99.8,353,93,79.1,225,221,50.4,222,224,49.8,446,0,100.0
Streptococcus_Mitis/oralis,446,1.0,446,0,100.0,373,73,83.6,277,169,62.1,261,185,58.5,446,0,100.0
Streptococcus_Mutans,16,0.01,0,16,0.0,0,16,0.0,6,10,37.5,0,16,0.0,6,10,37.5
Streptococcus_Mutans,16,0.05,3,13,18.8,12,4,75.0,6,10,37.5,0,16,0.0,12,4,75.0
Streptococcus_Mutans,16,0.1,14,2,87.5,12,4,75.0,6,10,37.5,6,10,37.5,16,0,100.0
Streptococcus_Mutans,16,0.5,16,0,100.0,13,3,81.2,11,5,68.8,9,7,56.2,16,0,100.0
Streptococcus_Mutans,16,1.0,16,0,100.0,16,0,100.0,13,3,81.2,13,3,81.2,16,0,100.0
Streptococcus_Oralis,271,0.01,1,270,0.4,0,271,0.0,227,44,83.8,0,271,0.0,227,44,83.8
Streptococcus_Oralis,271,0.05,11,260,4.1,245,26,90.4,240,31,88.6,11,260,4.1,246,25,90.8
Streptococcus_Oralis,271,0.1,157,114,57.9,254,17,93.7,252,19,93.0,149,122,55.0,262,9,96.7
Streptococcus_Oralis,271,0.5,271,0,100.0,266,5,98.2,271,0,100.0,266,5,98.2,271,0,100.0
Streptococcus_Oralis,271,1.0,271,0,100.0,268,3,98.9,271,0,100.0,268,3,98.9,271,0,100.0
Streptococcus_Parasanguinis,200,0.01,0,200,0.0,0,200,0.0,127,73,63.5,0,200,0.0,127,73,63.5
Streptococcus_Parasanguinis,200,0.05,24,176,12.0,177,23,88.5,140,60,70.0,5,195,2.5,177,23,88.5
Streptococcus_Parasanguinis,200,0.1,139,61,69.5,180,20,90.0,152,48,76.0,96,104,48.0,194,6,97.0
Streptococcus_Parasanguinis,200,0.5,197,3,98.5,190,10,95.0,168,32,84.0,164,36,82.0,200,0,100.0
Streptococcus_Parasanguinis,200,1.0,200,0,100.0,195,5,97.5,179,21,89.5,176,24,88.0,200,0,100.0
Streptococcus_Peroris,10,0.01,0,10,0.0,0,10,0.0,5,5,50.0,0,10,0.0,5,5,50.0
Streptococcus_Peroris,10,0.05,0,10,0.0,8,2,80.0,6,4,60.0,0,10,0.0,8,2,80.0
Streptococcus_Peroris,10,0.1,0,10,0.0,9,1,90.0,8,2,80.0,0,10,0.0,9,1,90.0
Streptococcus_Peroris,10,0.5,7,3,70.0,10,0,100.0,10,0,100.0,7,3,70.0,10,0,100.0
Streptococcus_Peroris,10,1.0,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0
Streptococcus_Pneumoniae,624,0.01,1,623,0.2,0,624,0.0,412,212,66.0,0,624,0.0,412,212,66.0
Streptococcus_Pneumoniae,624,0.05,39,585,6.2,516,108,82.7,447,177,71.6,11,613,1.8,522,102,83.7
Streptococcus_Pneumoniae,624,0.1,282,342,45.2,546,78,87.5,503,121,80.6,213,411,34.1,582,42,93.3
Streptococcus_Pneumoniae,624,0.5,598,26,95.8,581,43,93.1,571,53,91.5,527,97,84.5,624,0,100.0
Streptococcus_Pneumoniae,624,1.0,616,8,98.7,593,31,95.0,583,41,93.4,557,67,89.3,624,0,100.0
Streptococcus_Pseudopneumoniae,18,0.01,0,18,0.0,0,18,0.0,18,0,100.0,0,18,0.0,18,0,100.0
Streptococcus_Pseudopneumoniae,18,0.05,1,17,5.6,18,0,100.0,18,0,100.0,1,17,5.6,18,0,100.0
Streptococcus_Pseudopneumoniae,18,0.1,7,11,38.9,18,0,100.0,18,0,100.0,7,11,38.9,18,0,100.0
Streptococcus_Pseudopneumoniae,18,0.5,16,2,88.9,18,0,100.0,18,0,100.0,16,2,88.9,18,0,100.0
Streptococcus_Pseudopneumoniae,18,1.0,18,0,100.0,18,0,100.0,18,0,100.0,18,0,100.0,18,0,100.0
Streptococcus_Pyogenes,605,0.01,1,604,0.2,0,605,0.0,344,261,56.9,0,605,0.0,344,261,56.9
Streptococcus_Pyogenes,605,0.05,33,572,5.5,538,67,88.9,397,208,65.6,7,598,1.2,538,67,88.9
Streptococcus_Pyogenes,605,0.1,238,367,39.3,550,55,90.9,460,145,76.0,133,472,22.0,594,11,98.2
Streptococcus_Pyogenes,605,0.5,590,15,97.5,572,33,94.5,545,60,90.1,528,77,87.3,605,0,100.0
Streptococcus_Pyogenes,605,1.0,604,1,99.8,578,27,95.5,564,41,93.2,552,53,91.2,605,0,100.0
Streptococcus_Salivarius,227,0.01,0,227,0.0,0,227,0.0,46,181,20.3,0,227,0.0,46,181,20.3
Streptococcus_Salivarius,227,0.05,43,184,18.9,128,99,56.4,59,168,26.0,0,227,0.0,128,99,56.4
Streptococcus_Salivarius,227,0.1,208,19,91.6,138,89,60.8,78,149,34.4,63,164,27.8,226,1,99.6
Streptococcus_Salivarius,227,0.5,226,1,99.6,160,67,70.5,130,97,57.3,115,112,50.7,227,0,100.0
Streptococcus_Salivarius,227,1.0,226,1,99.6,170,57,74.9,161,66,70.9,126,101,55.5,227,0,100.0
Streptococcus_Sanguinis,71,0.01,2,69,2.8,0,71,0.0,58,13,81.7,0,71,0.0,58,13,81.7
Streptococcus_Sanguinis,71,0.05,12,59,16.9,68,3,95.8,59,12,83.1,11,60,15.5,68,3,95.8
Streptococcus_Sanguinis,71,0.1,58,13,81.7,69,2,97.2,66,5,93.0,54,17,76.1,71,0,100.0
Streptococcus_Sanguinis,71,0.5,70,1,98.6,70,1,98.6,70,1,98.6,68,3,95.8,71,0,100.0
Streptococcus_Sanguinis,71,1.0,71,0,100.0,71,0,100.0,70,1,98.6,70,1,98.6,71,0,100.0
Streptococcus_Species,13,0.01,0,13,0.0,0,13,0.0,0,13,0.0,0,13,0.0,0,13,0.0
Streptococcus_Species,13,0.05,1,12,7.7,4,9,30.8,0,13,0.0,0,13,0.0,4,9,30.8
Streptococcus_Species,13,0.1,9,4,69.2,6,7,46.2,0,13,0.0,0,13,0.0,10,3,76.9
Streptococcus_Species,13,0.5,13,0,100.0,8,5,61.5,6,7,46.2,6,7,46.2,13,0,100.0
Streptococcus_Species,13,1.0,13,0,100.0,8,5,61.5,9,4,69.2,7,6,53.8,13,0,100.0
Streptococcus_Vestibularis,70,0.01,0,70,0.0,0,70,0.0,34,36,48.6,0,70,0.0,34,36,48.6
Streptococcus_Vestibularis,70,0.05,8,62,11.4,52,18,74.3,40,30,57.1,1,69,1.4,52,18,74.3
Streptococcus_Vestibularis,70,0.1,53,17,75.7,54,16,77.1,43,27,61.4,29,41,41.4,70,0,100.0
Streptococcus_Vestibularis,70,0.5,70,0,100.0,61,9,87.1,52,18,74.3,51,19,72.9,70,0,100.0
Streptococcus_Vestibularis,70,1.0,70,0,100.0,63,7,90.0,57,13,81.4,56,14,80.0,70,0,100.0
Streptococcus_gruppe_g,41,0.01,0,41,0.0,0,41,0.0,3,38,7.3,0,41,0.0,3,38,7.3
Streptococcus_gruppe_g,41,0.05,7,34,17.1,20,21,48.8,3,38,7.3,0,41,0.0,20,21,48.8
Streptococcus_gruppe_g,41,0.1,41,0,100.0,24,17,58.5,6,35,14.6,6,35,14.6,41,0,100.0
Streptococcus_gruppe_g,41,0.5,41,0,100.0,30,11,73.2,19,22,46.3,19,22,46.3,41,0,100.0
Streptococcus_gruppe_g,41,1.0,41,0,100.0,33,8,80.5,27,14,65.9,26,15,63.4,41,0,100.0
Streptococcus_salivarius_ssp_thermophilus,27,0.01,0,27,0.0,0,27,0.0,19,8,70.4,0,27,0.0,19,8,70.4
Streptococcus_salivarius_ssp_thermophilus,27,0.05,2,25,7.4,22,5,81.5,22,5,81.5,2,25,7.4,22,5,81.5
Streptococcus_salivarius_ssp_thermophilus,27,0.1,20,7,74.1,22,5,81.5,22,5,81.5,16,11,59.3,26,1,96.3
Streptococcus_salivarius_ssp_thermophilus,27,0.5,27,0,100.0,22,5,81.5,22,5,81.5,22,5,81.5,27,0,100.0
Streptococcus_salivarius_ssp_thermophilus,27,1.0,27,0,100.0,22,5,81.5,26,1,96.3,22,5,81.5,27,0,100.0
Streptokokken_der_viridans-gruppe,16,0.01,0,16,0.0,0,16,0.0,2,14,12.5,0,16,0.0,2,14,12.5
Streptokokken_der_viridans-gruppe,16,0.05,6,10,37.5,11,5,68.8,2,14,12.5,0,16,0.0,11,5,68.8
Streptokokken_der_viridans-gruppe,16,0.1,14,2,87.5,11,5,68.8,3,13,18.8,3,13,18.8,15,1,93.8
Streptokokken_der_viridans-gruppe,16,0.5,16,0,100.0,12,4,75.0,6,10,37.5,6,10,37.5,16,0,100.0
Streptokokken_der_viridans-gruppe,16,1.0,16,0,100.0,12,4,75.0,6,10,37.5,6,10,37.5,16,0,100.0
Sutcliffiella_Cohnii,36,0.01,0,36,0.0,0,36,0.0,36,0,100.0,0,36,0.0,36,0,100.0
Sutcliffiella_Cohnii,36,0.05,18,18,50.0,36,0,100.0,36,0,100.0,18,18,50.0,36,0,100.0
Sutcliffiella_Cohnii,36,0.1,36,0,100.0,36,0,100.0,36,0,100.0,36,0,100.0,36,0,100.0
Sutcliffiella_Cohnii,36,0.5,36,0,100.0,36,0,100.0,36,0,100.0,36,0,100.0,36,0,100.0
Sutcliffiella_Cohnii,36,1.0,36,0,100.0,36,0,100.0,36,0,100.0,36,0,100.0,36,0,100.0
Trueperella_Bernardiae,32,0.01,0,32,0.0,0,32,0.0,25,7,78.1,0,32,0.0,25,7,78.1
Trueperella_Bernardiae,32,0.05,0,32,0.0,29,3,90.6,27,5,84.4,0,32,0.0,29,3,90.6
Trueperella_Bernardiae,32,0.1,18,14,56.2,30,2,93.8,31,1,96.9,17,15,53.1,31,1,96.9
Trueperella_Bernardiae,32,0.5,31,1,96.9,32,0,100.0,32,0,100.0,31,1,96.9,32,0,100.0
Trueperella_Bernardiae,32,1.0,32,0,100.0,32,0,100.0,32,0,100.0,32,0,100.0,32,0,100.0
Turicella_Otitidis,27,0.01,0,27,0.0,0,27,0.0,16,11,59.3,0,27,0.0,16,11,59.3
Turicella_Otitidis,27,0.05,5,22,18.5,20,7,74.1,17,10,63.0,5,22,18.5,21,6,77.8
Turicella_Otitidis,27,0.1,26,1,96.3,21,6,77.8,21,6,77.8,19,8,70.4,26,1,96.3
Turicella_Otitidis,27,0.5,27,0,100.0,24,3,88.9,27,0,100.0,24,3,88.9,27,0,100.0
Turicella_Otitidis,27,1.0,27,0,100.0,25,2,92.6,27,0,100.0,25,2,92.6,27,0,100.0
Vibrio_Alginolyticus,16,0.01,0,16,0.0,0,16,0.0,14,2,87.5,0,16,0.0,14,2,87.5
Vibrio_Alginolyticus,16,0.05,8,8,50.0,16,0,100.0,14,2,87.5,8,8,50.0,16,0,100.0
Vibrio_Alginolyticus,16,0.1,14,2,87.5,16,0,100.0,16,0,100.0,14,2,87.5,16,0,100.0
Vibrio_Alginolyticus,16,0.5,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0
Vibrio_Alginolyticus,16,1.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0
Vibrio_Cholerae,221,0.01,12,209,5.4,0,221,0.0,166,55,75.1,0,221,0.0,166,55,75.1
Vibrio_Cholerae,221,0.05,71,150,32.1,208,13,94.1,183,38,82.8,65,156,29.4,209,12,94.6
Vibrio_Cholerae,221,0.1,169,52,76.5,217,4,98.2,198,23,89.6,154,67,69.7,220,1,99.5
Vibrio_Cholerae,221,0.5,212,9,95.9,220,1,99.5,221,0,100.0,211,10,95.5,221,0,100.0
Vibrio_Cholerae,221,1.0,218,3,98.6,221,0,100.0,221,0,100.0,218,3,98.6,221,0,100.0
Vibrio_Harveyi,11,0.01,0,11,0.0,0,11,0.0,11,0,100.0,0,11,0.0,11,0,100.0
Vibrio_Harveyi,11,0.05,0,11,0.0,11,0,100.0,11,0,100.0,0,11,0.0,11,0,100.0
Vibrio_Harveyi,11,0.1,11,0,100.0,11,0,100.0,11,0,100.0,11,0,100.0,11,0,100.0
Vibrio_Harveyi,11,0.5,11,0,100.0,11,0,100.0,11,0,100.0,11,0,100.0,11,0,100.0
Vibrio_Harveyi,11,1.0,11,0,100.0,11,0,100.0,11,0,100.0,11,0,100.0,11,0,100.0
Vibrio_Metschnikovii,42,0.01,0,42,0.0,0,42,0.0,42,0,100.0,0,42,0.0,42,0,100.0
Vibrio_Metschnikovii,42,0.05,0,42,0.0,42,0,100.0,42,0,100.0,0,42,0.0,42,0,100.0
Vibrio_Metschnikovii,42,0.1,0,42,0.0,42,0,100.0,42,0,100.0,0,42,0.0,42,0,100.0
Vibrio_Metschnikovii,42,0.5,34,8,81.0,42,0,100.0,42,0,100.0,34,8,81.0,42,0,100.0
Vibrio_Metschnikovii,42,1.0,42,0,100.0,42,0,100.0,42,0,100.0,42,0,100.0,42,0,100.0
Vibrio_Parahaemolyticus,16,0.01,0,16,0.0,0,16,0.0,12,4,75.0,0,16,0.0,12,4,75.0
Vibrio_Parahaemolyticus,16,0.05,2,14,12.5,14,2,87.5,12,4,75.0,2,14,12.5,14,2,87.5
Vibrio_Parahaemolyticus,16,0.1,9,7,56.2,15,1,93.8,14,2,87.5,8,8,50.0,16,0,100.0
Vibrio_Parahaemolyticus,16,0.5,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0
Vibrio_Parahaemolyticus,16,1.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0,16,0,100.0
Vibrio_Vulnificus,10,0.01,0,10,0.0,0,10,0.0,8,2,80.0,0,10,0.0,8,2,80.0
Vibrio_Vulnificus,10,0.05,0,10,0.0,9,1,90.0,8,2,80.0,0,10,0.0,9,1,90.0
Vibrio_Vulnificus,10,0.1,8,2,80.0,10,0,100.0,9,1,90.0,7,3,70.0,10,0,100.0
Vibrio_Vulnificus,10,0.5,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0
Vibrio_Vulnificus,10,1.0,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0
Weizmannia_Coagulans,60,0.01,29,31,48.3,0,60,0.0,60,0,100.0,0,60,0.0,60,0,100.0
Weizmannia_Coagulans,60,0.05,45,15,75.0,60,0,100.0,60,0,100.0,45,15,75.0,60,0,100.0
Weizmannia_Coagulans,60,0.1,60,0,100.0,60,0,100.0,60,0,100.0,60,0,100.0,60,0,100.0
Weizmannia_Coagulans,60,0.5,60,0,100.0,60,0,100.0,60,0,100.0,60,0,100.0,60,0,100.0
Weizmannia_Coagulans,60,1.0,60,0,100.0,60,0,100.0,60,0,100.0,60,0,100.0,60,0,100.0
Yersinia_Enterocolitica,208,0.01,0,208,0.0,0,208,0.0,187,21,89.9,0,208,0.0,187,21,89.9
Yersinia_Enterocolitica,208,0.05,1,207,0.5,204,4,98.1,191,17,91.8,1,207,0.5,204,4,98.1
Yersinia_Enterocolitica,208,0.1,170,38,81.7,206,2,99.0,196,12,94.2,160,48,76.9,207,1,99.5
Yersinia_Enterocolitica,208,0.5,207,1,99.5,208,0,100.0,208,0,100.0,207,1,99.5,208,0,100.0
Yersinia_Enterocolitica,208,1.0,208,0,100.0,208,0,100.0,208,0,100.0,208,0,100.0,208,0,100.0
Yersinia_Entomophaga,12,0.01,0,12,0.0,0,12,0.0,12,0,100.0,0,12,0.0,12,0,100.0
Yersinia_Entomophaga,12,0.05,0,12,0.0,12,0,100.0,12,0,100.0,0,12,0.0,12,0,100.0
Yersinia_Entomophaga,12,0.1,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Entomophaga,12,0.5,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Entomophaga,12,1.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Intermedia,12,0.01,0,12,0.0,0,12,0.0,11,1,91.7,0,12,0.0,11,1,91.7
Yersinia_Intermedia,12,0.05,0,12,0.0,11,1,91.7,11,1,91.7,0,12,0.0,11,1,91.7
Yersinia_Intermedia,12,0.1,11,1,91.7,11,1,91.7,11,1,91.7,10,2,83.3,12,0,100.0
Yersinia_Intermedia,12,0.5,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Intermedia,12,1.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Massiliensis,12,0.01,0,12,0.0,0,12,0.0,10,2,83.3,0,12,0.0,10,2,83.3
Yersinia_Massiliensis,12,0.05,11,1,91.7,10,2,83.3,10,2,83.3,10,2,83.3,11,1,91.7
Yersinia_Massiliensis,12,0.1,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Massiliensis,12,0.5,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Massiliensis,12,1.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Nurmii,12,0.01,0,12,0.0,0,12,0.0,12,0,100.0,0,12,0.0,12,0,100.0
Yersinia_Nurmii,12,0.05,0,12,0.0,12,0,100.0,12,0,100.0,0,12,0.0,12,0,100.0
Yersinia_Nurmii,12,0.1,5,7,41.7,12,0,100.0,12,0,100.0,5,7,41.7,12,0,100.0
Yersinia_Nurmii,12,0.5,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Nurmii,12,1.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Pekkanenii,12,0.01,0,12,0.0,0,12,0.0,9,3,75.0,0,12,0.0,9,3,75.0
Yersinia_Pekkanenii,12,0.05,0,12,0.0,12,0,100.0,10,2,83.3,0,12,0.0,12,0,100.0
Yersinia_Pekkanenii,12,0.1,4,8,33.3,12,0,100.0,12,0,100.0,4,8,33.3,12,0,100.0
Yersinia_Pekkanenii,12,0.5,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Pekkanenii,12,1.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0,12,0,100.0
Yersinia_Pestis,94,0.01,0,94,0.0,0,94,0.0,94,0,100.0,0,94,0.0,94,0,100.0
Yersinia_Pestis,94,0.05,0,94,0.0,94,0,100.0,94,0,100.0,0,94,0.0,94,0,100.0
Yersinia_Pestis,94,0.1,52,42,55.3,94,0,100.0,94,0,100.0,52,42,55.3,94,0,100.0
Yersinia_Pestis,94,0.5,93,1,98.9,94,0,100.0,94,0,100.0,93,1,98.9,94,0,100.0
Yersinia_Pestis,94,1.0,94,0,100.0,94,0,100.0,94,0,100.0,94,0,100.0,94,0,100.0
Yersinia_Pseudotuberculosis,73,0.01,0,73,0.0,0,73,0.0,73,0,100.0,0,73,0.0,73,0,100.0
Yersinia_Pseudotuberculosis,73,0.05,1,72,1.4,73,0,100.0,73,0,100.0,1,72,1.4,73,0,100.0
Yersinia_Pseudotuberculosis,73,0.1,40,33,54.8,73,0,100.0,73,0,100.0,40,33,54.8,73,0,100.0
Yersinia_Pseudotuberculosis,73,0.5,73,0,100.0,73,0,100.0,73,0,100.0,73,0,100.0,73,0,100.0
Yersinia_Pseudotuberculosis,73,1.0,73,0,100.0,73,0,100.0,73,0,100.0,73,0,100.0,73,0,100.0
Yersinia_Ruckeri,27,0.01,0,27,0.0,0,27,0.0,27,0,100.0,0,27,0.0,27,0,100.0
Yersinia_Ruckeri,27,0.05,0,27,0.0,27,0,100.0,27,0,100.0,0,27,0.0,27,0,100.0
Yersinia_Ruckeri,27,0.1,23,4,85.2,27,0,100.0,27,0,100.0,23,4,85.2,27,0,100.0
Yersinia_Ruckeri,27,0.5,27,0,100.0,27,0,100.0,27,0,100.0,27,0,100.0,27,0,100.0
Yersinia_Ruckeri,27,1.0,27,0,100.0,27,0,100.0,27,0,100.0,27,0,100.0,27,0,100.0
Yersinia_Similis,27,0.01,0,27,0.0,0,27,0.0,27,0,100.0,0,27,0.0,27,0,100.0
Yersinia_Similis,27,0.05,0,27,0.0,27,0,100.0,27,0,100.0,0,27,0.0,27,0,100.0
Yersinia_Similis,27,0.1,24,3,88.9,27,0,100.0,27,0,100.0,24,3,88.9,27,0,100.0
Yersinia_Similis,27,0.5,27,0,100.0,27,0,100.0,27,0,100.0,27,0,100.0,27,0,100.0
