species,n_total,percentile,GMM_n_ood,GMM_n_indist,GMM_pct_ood,Decoder A_n_ood,Decoder A_n_indist,Decoder A_pct_ood,MARISMA_n_ood,MARISMA_n_indist,MARISMA_pct_ood,Intersection (3 agree)_n_ood,Intersection (3 agree)_n_indist,Intersection (3 agree)_pct_ood,Union (at least 1 agrees)_n_ood,Union (at least 1 agrees)_n_indist,Union (at least 1 agrees)_pct_ood
Staphylococcus_Sp[1],10,0.5,9,1,90.0,10,0,100.0,10,0,100.0,9,1,90.0,10,0,100.0
Staphylococcus_Sp[1],10,1.0,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0,10,0,100.0
Staphylococcus_Warneri,212,0.01,0,212,0.0,0,212,0.0,93,119,43.9,0,212,0.0,93,119,43.9
Staphylococcus_Warneri,212,0.05,9,203,4.2,129,83,60.8,106,106,50.0,1,211,0.5,131,81,61.8
Staphylococcus_Warneri,212,0.1,104,108,49.1,139,73,65.6,118,94,55.7,16,196,7.5,210,2,99.1
Staphylococcus_Warneri,212,0.5,144,68,67.9,148,64,69.8,150,62,70.8,74,138,34.9,212,0,100.0
Staphylococcus_Warneri,212,1.0,180,32,84.9,154,58,72.6,166,46,78.3,116,96,54.7,212,0,100.0
Staphylococcus_Xylosus,36,0.01,2,34,5.6,0,36,0.0,19,17,52.8,0,36,0.0,19,17,52.8
Staphylococcus_Xylosus,36,0.05,12,24,33.3,23,13,63.9,21,15,58.3,9,27,25.0,25,11,69.4
Staphylococcus_Xylosus,36,0.1,30,6,83.3,27,9,75.0,21,15,58.3,16,20,44.4,35,1,97.2
Staphylococcus_Xylosus,36,0.5,36,0,100.0,29,7,80.6,28,8,77.8,28,8,77.8,36,0,100.0
Staphylococcus_Xylosus,36,1.0,36,0,100.0,29,7,80.6,32,4,88.9,28,8,77.8,36,0,100.0
Stenotrophomonas_Maltophilia,752,0.01,8,744,1.1,0,752,0.0,666,86,88.6,0,752,0.0,666,86,88.6
Stenotrophomonas_Maltophilia,752,0.05,197,555,26.2,739,13,98.3,690,62,91.8,172,580,22.9,740,12,98.4
Stenotrophomonas_Maltophilia,752,0.1,725,27,96.4,748,4,99.5,713,39,94.8,687,65,91.4,752,0,100.0
Stenotrophomonas_Maltophilia,752,0.5,750,2,99.7,751,1,99.9,727,25,96.7,725,27,96.4,752,0,100.0
Stenotrophomonas_Maltophilia,752,1.0,752,0,100.0,751,1,99.9,727,25,96.7,727,25,96.7,752,0,100.0
Stenotrophomonas_Rhizophila,14,0.01,0,14,0.0,0,14,0.0,14,0,100.0,0,14,0.0,14,0,100.0
Stenotrophomonas_Rhizophila,14,0.05,0,14,0.0,14,0,100.0,14,0,100.0,0,14,0.0,14,0,100.0
Stenotrophomonas_Rhizophila,14,0.1,10,4,71.4,14,0,100.0,14,0,100.0,10,4,71.4,14,0,100.0
Stenotrophomonas_Rhizophila,14,0.5,14,0,100.0,14,0,100.0,14,0,100.0,14,0,100.0,14,0,100.0
Stenotrophomonas_Rhizophila,14,1.0,14,0,100.0,14,0,100.0,14,0,100.0,14,0,100.0,14,0,100.0
Stenotrophomonas_Species,12,0.01,0,12,0.0,0,12,0.0,7,5,58.3,0,12,0.0,7,5,58.3
Stenotrophomonas_Species,12,0.05,2,10,16.7,12,0,100.0,9,3,75.0,0,12,0.0,12,0,100.0
Stenotrophomonas_Species,12,0.1,10,2,83.3,12,0,100.0,9,3,75.0,7,5,58.3,12,0,100.0
Stenotrophomonas_Species,12,0.5,12,0,100.0,12,0,100.0,10,2,83.3,10,2,83.3,12,0,100.0
Stenotrophomonas_Species,12,1.0,12,0,100.0,12,0,100.0,10,2,83.3,10,2,83.3,12,0,100.0
Streptococcus_Agalactiae,2321,0.01,0,2321,0.0,0,2321,0.0,973,1348,41.9,0,2321,0.0,973,1348,41.9
Streptococcus_Agalactiae,2321,0.05,195,2126,8.4,1651,670,71.1,1149,1172,49.5,14,2307,0.6,1659,662,71.5
Streptococcus_Agalactiae,2321,0.1,1665,656,71.7,1762,559,75.9,1388,933,59.8,823,1498,35.5,2292,29,98.8
Streptococcus_Agalactiae,2321,0.5,2312,9,99.6,1929,392,83.1,1772,549,76.3,1720,601,74.1,2321,0,100.0
Streptococcus_Agalactiae,2321,1.0,2317,4,99.8,1990,331,85.7,1942,379,83.7,1817,504,78.3,2321,0,100.0
Streptococcus_Anginosus,888,0.01,0,888,0.0,0,888,0.0,221,667,24.9,0,888,0.0,221,667,24.9
Streptococcus_Anginosus,888,0.05,127,761,14.3,595,293,67.0,265,623,29.8,2,886,0.2,596,292,67.1
Streptococcus_Anginosus,888,0.1,750,138,84.5,662,226,74.5,387,501,43.6,311,577,35.0,833,55,93.8
