percentile_gmm,total,kept,discarded,coverage,BA,F1,Precision,Recall,Specificity,ROC AUC
0.01,28290,28290,0,100.0,0.95,0.966,0.983,0.95,0.992,0.988
0.05,28290,27143,1147,95.9,0.993,0.993,0.993,0.993,0.999,1.0
0.1,28290,24814,3476,87.7,0.998,0.998,0.998,0.998,1.0,1.0
0.5,28290,7350,20940,26.0,0.996,0.997,0.997,0.996,1.0,0.999
1.0,28290,2646,25644,9.4,0.998,0.998,0.999,0.998,0.999,0.999
