n_prev,n_new,model,balanced_accuracy,f1_macro,recall_macro,specificity_macro,confusion_matrix
0,50,RF_original,0.9063787849325214,0.8496102595282776,0.9063787849325214,0.97925454696085,"[[422, 0, 0, 0, 0, 0], [1, 161, 0, 0, 2, 1], [20, 210, 1338, 54, 32, 290], [2, 2, 3, 2069, 0, 1], [3, 21, 12, 1, 273, 40], [0, 0, 1, 2, 1, 2096]]"
0,50,MLP_original,0.9138362638990324,0.8960000865930146,0.9138362638990324,0.9798970353795705,"[[422, 0, 0, 0, 0, 0], [0, 161, 3, 0, 0, 1], [25, 32, 1400, 55, 66, 366], [1, 0, 6, 2068, 0, 2], [6, 3, 22, 1, 278, 40], [0, 1, 3, 1, 1, 2094]]"
0,50,RF_latent_zero,0.9217151717618951,0.8853129566097367,0.9217151717618951,0.9841848688651246,"[[421, 0, 1, 0, 0, 0], [0, 161, 3, 0, 0, 1], [5, 128, 1515, 68, 29, 199], [1, 2, 3, 2070, 0, 1], [0, 13, 22, 8, 274, 33], [0, 0, 2, 2, 0, 2096]]"
0,50,MLP_latent_zero,0.9145727825158628,0.8656007756649067,0.9145727825158628,0.9818918417480283,"[[422, 0, 0, 0, 0, 0], [0, 161, 2, 0, 1, 1], [18, 136, 1428, 93, 75, 194], [3, 2, 0, 2071, 0, 1], [6, 9, 18, 5, 274, 38], [0, 0, 2, 3, 1, 2094]]"
0,50,RF_few,0.7200366836383175,0.7797194359051837,0.7200366836383175,0.9801973174096643,"[[119, 0, 288, 15, 0, 0], [0, 79, 86, 0, 0, 0], [1, 0, 1923, 14, 0, 6], [1, 0, 42, 2033, 0, 1], [0, 0, 138, 1, 209, 2], [0, 0, 12, 0, 0, 2088]]"
0,50,MLP_few,0.9283407545202432,0.9341984982239687,0.9283407545202432,0.9909279382260113,"[[387, 0, 19, 16, 0, 0], [0, 161, 3, 0, 0, 1], [3, 18, 1798, 14, 14, 97], [1, 0, 7, 2067, 1, 1], [0, 9, 38, 1, 266, 36], [0, 1, 5, 0, 0, 2094]]"
0,50,FT_full_RF,0.9474087163084008,0.9526225408674053,0.9474087163084008,0.9933347426420646,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [5, 15, 1836, 23, 7, 58], [1, 0, 10, 2066, 0, 0], [0, 3, 51, 4, 272, 20], [0, 0, 5, 1, 0, 2094]]"
0,50,FT_full_MLP,0.945504400289391,0.9433981732543372,0.945504400289391,0.992472040911189,"[[422, 0, 0, 0, 0, 0], [0, 161, 4, 0, 0, 0], [20, 20, 1799, 32, 17, 56], [1, 1, 7, 2068, 0, 0], [1, 3, 46, 3, 273, 24], [0, 0, 5, 2, 1, 2092]]"
0,50,FT_freeze_RF,0.9480143434230598,0.953591379207694,0.9480143434230598,0.9935556834667626,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [5, 17, 1844, 19, 5, 54], [1, 0, 11, 2065, 0, 0], [0, 1, 54, 2, 272, 21], [0, 0, 5, 1, 0, 2094]]"
0,50,FT_freeze_MLP,0.9453976223788488,0.9453911736512187,0.9453976223788488,0.9926286999547903,"[[421, 0, 1, 0, 0, 0], [0, 161, 4, 0, 0, 0], [18, 20, 1807, 28, 12, 59], [1, 1, 8, 2067, 0, 0], [1, 2, 46, 3, 272, 26], [0, 0, 4, 2, 0, 2094]]"
0,100,RF_original,0.9063787849325214,0.8496102595282776,0.9063787849325214,0.97925454696085,"[[422, 0, 0, 0, 0, 0], [1, 161, 0, 0, 2, 1], [20, 210, 1338, 54, 32, 290], [2, 2, 3, 2069, 0, 1], [3, 21, 12, 1, 273, 40], [0, 0, 1, 2, 1, 2096]]"
0,100,MLP_original,0.9138362638990324,0.8960000865930146,0.9138362638990324,0.9798970353795705,"[[422, 0, 0, 0, 0, 0], [0, 161, 3, 0, 0, 1], [25, 32, 1400, 55, 66, 366], [1, 0, 6, 2068, 0, 2], [6, 3, 22, 1, 278, 40], [0, 1, 3, 1, 1, 2094]]"
0,100,RF_latent_zero,0.9217151717618951,0.8853129566097367,0.9217151717618951,0.9841848688651246,"[[421, 0, 1, 0, 0, 0], [0, 161, 3, 0, 0, 1], [5, 128, 1515, 68, 29, 199], [1, 2, 3, 2070, 0, 1], [0, 13, 22, 8, 274, 33], [0, 0, 2, 2, 0, 2096]]"
0,100,MLP_latent_zero,0.9145727825158628,0.8656007756649067,0.9145727825158628,0.9818918417480283,"[[422, 0, 0, 0, 0, 0], [0, 161, 2, 0, 1, 1], [18, 136, 1428, 93, 75, 194], [3, 2, 0, 2071, 0, 1], [6, 9, 18, 5, 274, 38], [0, 0, 2, 3, 1, 2094]]"
0,100,RF_few,0.9099575988692853,0.9394902114122811,0.9099575988692853,0.9916311604363538,"[[380, 0, 39, 3, 0, 0], [0, 143, 22, 0, 0, 0], [2, 0, 1922, 12, 1, 7], [1, 0, 67, 2008, 0, 1], [0, 0, 88, 0, 260, 2], [0, 0, 12, 0, 0, 2088]]"
0,100,MLP_few,0.944486581969827,0.9498351389284735,0.944486581969827,0.9924616323520681,"[[420, 0, 1, 1, 0, 0], [0, 158, 3, 0, 1, 3], [13, 9, 1803, 13, 18, 88], [2, 0, 7, 2067, 0, 1], [2, 1, 36, 1, 278, 32], [0, 0, 6, 0, 0, 2094]]"
0,100,FT_full_RF,0.950598095662428,0.9589350610054416,0.950598095662428,0.9945373055778951,"[[421, 0, 1, 0, 0, 0], [0, 161, 4, 0, 0, 0], [4, 11, 1876, 14, 4, 35], [1, 0, 10, 2066, 0, 0], [0, 1, 68, 1, 271, 9], [0, 0, 7, 1, 0, 2092]]"
0,100,FT_full_MLP,0.9506112222220783,0.9570967938226259,0.9506112222220783,0.9940320538502171,"[[421, 0, 1, 0, 0, 0], [0, 161, 4, 0, 0, 0], [6, 7, 1853, 17, 18, 43], [1, 0, 9, 2067, 0, 0], [0, 1, 59, 0, 275, 15], [0, 0, 6, 1, 1, 2092]]"
0,100,FT_freeze_RF,0.9516716068300957,0.963134890586113,0.9516716068300957,0.9950039189120882,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [4, 5, 1895, 14, 2, 24], [1, 0, 12, 2064, 0, 0], [0, 1, 68, 0, 271, 10], [0, 0, 7, 1, 0, 2092]]"
0,100,FT_freeze_MLP,0.9483307449822207,0.959220543010919,0.9483307449822207,0.9938392334382109,"[[419, 0, 3, 0, 0, 0], [0, 161, 4, 0, 0, 0], [3, 6, 1856, 15, 5, 59], [1, 0, 11, 2065, 0, 0], [0, 1, 56, 0, 271, 22], [0, 0, 4, 0, 0, 2096]]"
0,150,RF_original,0.9063787849325214,0.8496102595282776,0.9063787849325214,0.97925454696085,"[[422, 0, 0, 0, 0, 0], [1, 161, 0, 0, 2, 1], [20, 210, 1338, 54, 32, 290], [2, 2, 3, 2069, 0, 1], [3, 21, 12, 1, 273, 40], [0, 0, 1, 2, 1, 2096]]"
0,150,MLP_original,0.9138362638990324,0.8960000865930146,0.9138362638990324,0.9798970353795705,"[[422, 0, 0, 0, 0, 0], [0, 161, 3, 0, 0, 1], [25, 32, 1400, 55, 66, 366], [1, 0, 6, 2068, 0, 2], [6, 3, 22, 1, 278, 40], [0, 1, 3, 1, 1, 2094]]"
0,150,RF_latent_zero,0.9217151717618951,0.8853129566097367,0.9217151717618951,0.9841848688651246,"[[421, 0, 1, 0, 0, 0], [0, 161, 3, 0, 0, 1], [5, 128, 1515, 68, 29, 199], [1, 2, 3, 2070, 0, 1], [0, 13, 22, 8, 274, 33], [0, 0, 2, 2, 0, 2096]]"
0,150,MLP_latent_zero,0.9145727825158628,0.8656007756649067,0.9145727825158628,0.9818918417480283,"[[422, 0, 0, 0, 0, 0], [0, 161, 2, 0, 1, 1], [18, 136, 1428, 93, 75, 194], [3, 2, 0, 2071, 0, 1], [6, 9, 18, 5, 274, 38], [0, 0, 2, 3, 1, 2094]]"
0,150,RF_few,0.9342086477509354,0.9533177452328019,0.9342086477509354,0.9938923117448661,"[[395, 0, 26, 1, 0, 0], [0, 152, 12, 0, 0, 1], [2, 1, 1894, 12, 11, 24], [1, 0, 11, 2064, 0, 1], [0, 0, 67, 0, 275, 8], [0, 0, 9, 1, 2, 2088]]"
0,150,MLP_few,0.9562365011993128,0.9230353624471128,0.9562365011993128,0.9926007871106125,"[[412, 0, 7, 3, 0, 0], [0, 160, 1, 0, 4, 0], [4, 37, 1733, 15, 145, 10], [1, 2, 4, 2069, 1, 0], [1, 6, 23, 1, 318, 1], [0, 1, 4, 1, 4, 2090]]"
0,150,FT_full_RF,0.9512781989091375,0.9627369017186106,0.9512781989091375,0.9949125565325138,"[[420, 0, 2, 0, 0, 0], [0, 160, 5, 0, 0, 0], [4, 5, 1892, 12, 2, 29], [1, 0, 11, 2065, 0, 0], [0, 1, 68, 0, 273, 8], [0, 0, 8, 1, 1, 2090]]"
0,150,FT_full_MLP,0.9513461280901964,0.9495726678309823,0.9513461280901964,0.9937339111272351,"[[419, 0, 3, 0, 0, 0], [0, 161, 4, 0, 0, 0], [4, 6, 1831, 12, 65, 26], [1, 0, 11, 2065, 0, 0], [0, 1, 60, 0, 283, 6], [0, 0, 6, 2, 3, 2089]]"
0,150,FT_freeze_RF,0.9523663039373947,0.9547900833039304,0.9523663039373947,0.9946255627044635,"[[421, 0, 1, 0, 0, 0], [0, 161, 4, 0, 0, 0], [10, 18, 1881, 12, 9, 14], [1, 0, 21, 2055, 0, 0], [0, 1, 67, 0, 276, 6], [0, 0, 8, 0, 2, 2090]]"
0,150,FT_freeze_MLP,0.9408152038034436,0.9310928383815402,0.9408152038034436,0.9902291025008187,"[[422, 0, 0, 0, 0, 0], [0, 161, 3, 0, 0, 1], [52, 12, 1711, 12, 48, 109], [5, 0, 6, 2066, 0, 0], [7, 1, 33, 0, 279, 30], [0, 0, 4, 0, 2, 2094]]"
0,200,RF_original,0.9063787849325214,0.8496102595282776,0.9063787849325214,0.97925454696085,"[[422, 0, 0, 0, 0, 0], [1, 161, 0, 0, 2, 1], [20, 210, 1338, 54, 32, 290], [2, 2, 3, 2069, 0, 1], [3, 21, 12, 1, 273, 40], [0, 0, 1, 2, 1, 2096]]"
0,200,MLP_original,0.9138362638990324,0.8960000865930146,0.9138362638990324,0.9798970353795705,"[[422, 0, 0, 0, 0, 0], [0, 161, 3, 0, 0, 1], [25, 32, 1400, 55, 66, 366], [1, 0, 6, 2068, 0, 2], [6, 3, 22, 1, 278, 40], [0, 1, 3, 1, 1, 2094]]"
0,200,RF_latent_zero,0.9217151717618951,0.8853129566097367,0.9217151717618951,0.9841848688651246,"[[421, 0, 1, 0, 0, 0], [0, 161, 3, 0, 0, 1], [5, 128, 1515, 68, 29, 199], [1, 2, 3, 2070, 0, 1], [0, 13, 22, 8, 274, 33], [0, 0, 2, 2, 0, 2096]]"
0,200,MLP_latent_zero,0.9145727825158628,0.8656007756649067,0.9145727825158628,0.9818918417480283,"[[422, 0, 0, 0, 0, 0], [0, 161, 2, 0, 1, 1], [18, 136, 1428, 93, 75, 194], [3, 2, 0, 2071, 0, 1], [6, 9, 18, 5, 274, 38], [0, 0, 2, 3, 1, 2094]]"
0,200,RF_few,0.9288407761854639,0.9501301841662934,0.9288407761854639,0.9936414737424092,"[[396, 0, 24, 2, 0, 0], [0, 147, 17, 0, 0, 1], [3, 0, 1895, 12, 12, 22], [1, 0, 16, 2059, 0, 1], [0, 0, 69, 0, 274, 7], [0, 0, 9, 0, 2, 2089]]"
0,200,MLP_few,0.9500514590477253,0.9373641283340838,0.9500514590477253,0.9937126932704056,"[[414, 0, 5, 3, 0, 0], [0, 159, 5, 0, 1, 0], [6, 27, 1818, 14, 54, 25], [1, 0, 5, 2071, 0, 0], [1, 11, 37, 1, 290, 10], [0, 0, 7, 0, 4, 2089]]"
0,200,FT_full_RF,0.9505484499287062,0.9536971014194568,0.9505484499287062,0.9940598057010172,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [5, 13, 1856, 11, 22, 37], [1, 0, 14, 2062, 0, 0], [0, 1, 57, 0, 276, 16], [0, 0, 6, 0, 2, 2092]]"
0,200,FT_full_MLP,0.9497134350358144,0.9561866597548012,0.9497134350358144,0.9945515219197039,"[[416, 0, 6, 0, 0, 0], [0, 160, 5, 0, 0, 0], [5, 6, 1883, 11, 25, 14], [1, 0, 19, 2057, 0, 0], [0, 1, 64, 0, 276, 9], [0, 0, 7, 0, 3, 2090]]"
0,200,FT_freeze_RF,0.9509201101266868,0.9560740716326855,0.9509201101266868,0.9948219606991308,"[[419, 0, 3, 0, 0, 0], [0, 161, 4, 0, 0, 0], [5, 16, 1889, 12, 3, 19], [1, 1, 12, 2063, 0, 0], [0, 3, 69, 0, 272, 6], [0, 0, 10, 1, 0, 2089]]"
0,200,FT_freeze_MLP,0.9496114431683077,0.9561524435750761,0.9496114431683077,0.9940809431706285,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [13, 7, 1858, 13, 12, 41], [2, 0, 10, 2065, 0, 0], [0, 2, 56, 0, 273, 19], [0, 0, 7, 0, 0, 2093]]"
0,250,RF_original,0.9063787849325214,0.8496102595282776,0.9063787849325214,0.97925454696085,"[[422, 0, 0, 0, 0, 0], [1, 161, 0, 0, 2, 1], [20, 210, 1338, 54, 32, 290], [2, 2, 3, 2069, 0, 1], [3, 21, 12, 1, 273, 40], [0, 0, 1, 2, 1, 2096]]"
0,250,MLP_original,0.9138362638990324,0.8960000865930146,0.9138362638990324,0.9798970353795705,"[[422, 0, 0, 0, 0, 0], [0, 161, 3, 0, 0, 1], [25, 32, 1400, 55, 66, 366], [1, 0, 6, 2068, 0, 2], [6, 3, 22, 1, 278, 40], [0, 1, 3, 1, 1, 2094]]"
0,250,RF_latent_zero,0.9217151717618951,0.8853129566097367,0.9217151717618951,0.9841848688651246,"[[421, 0, 1, 0, 0, 0], [0, 161, 3, 0, 0, 1], [5, 128, 1515, 68, 29, 199], [1, 2, 3, 2070, 0, 1], [0, 13, 22, 8, 274, 33], [0, 0, 2, 2, 0, 2096]]"
0,250,MLP_latent_zero,0.9145727825158628,0.8656007756649067,0.9145727825158628,0.9818918417480283,"[[422, 0, 0, 0, 0, 0], [0, 161, 2, 0, 1, 1], [18, 136, 1428, 93, 75, 194], [3, 2, 0, 2071, 0, 1], [6, 9, 18, 5, 274, 38], [0, 0, 2, 3, 1, 2094]]"
0,250,RF_few,0.9313889619641457,0.9532011491778515,0.9313889619641457,0.9945642223078801,"[[406, 0, 15, 1, 0, 0], [0, 145, 20, 0, 0, 0], [3, 1, 1917, 12, 6, 5], [1, 0, 14, 2062, 0, 0], [0, 0, 75, 0, 271, 4], [0, 0, 11, 0, 1, 2088]]"
0,250,MLP_few,0.9539977637407228,0.93959595770241,0.9539977637407228,0.9940361510192409,"[[420, 0, 1, 1, 0, 0], [0, 160, 4, 0, 1, 0], [16, 25, 1820, 13, 48, 22], [3, 0, 4, 2069, 0, 1], [1, 11, 42, 1, 291, 4], [0, 1, 7, 0, 2, 2090]]"
0,250,FT_full_RF,0.9521735753776784,0.9584107526611656,0.9521735753776784,0.9948649316936967,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [5, 13, 1887, 11, 5, 23], [1, 0, 15, 2061, 0, 0], [0, 2, 67, 0, 274, 7], [0, 0, 7, 0, 1, 2092]]"
0,250,FT_full_MLP,0.9363886128104464,0.891884203068487,0.9363886128104464,0.9856811239449743,"[[422, 0, 0, 0, 0, 0], [0, 161, 2, 0, 1, 1], [74, 2, 1478, 13, 301, 76], [15, 0, 1, 2059, 2, 0], [9, 0, 11, 0, 313, 17], [0, 0, 4, 0, 3, 2093]]"
0,250,FT_freeze_RF,0.9507889726952158,0.9554612409431718,0.9507889726952158,0.9944084957070661,"[[421, 0, 1, 0, 0, 0], [0, 161, 4, 0, 0, 0], [5, 16, 1869, 11, 9, 34], [1, 0, 13, 2063, 0, 0], [0, 1, 65, 0, 273, 11], [0, 0, 6, 0, 1, 2093]]"
0,250,FT_freeze_MLP,0.9503994620263635,0.9456418925623611,0.9503994620263635,0.9929381674964047,"[[422, 0, 0, 0, 0, 0], [0, 160, 5, 0, 0, 0], [14, 3, 1792, 12, 79, 44], [4, 0, 8, 2065, 0, 0], [1, 0, 43, 0, 287, 19], [0, 0, 4, 0, 3, 2093]]"
50,50,RF_original,0.9063787849325214,0.8496102595282776,0.9063787849325214,0.97925454696085,"[[422, 0, 0, 0, 0, 0], [1, 161, 0, 0, 2, 1], [20, 210, 1338, 54, 32, 290], [2, 2, 3, 2069, 0, 1], [3, 21, 12, 1, 273, 40], [0, 0, 1, 2, 1, 2096]]"
50,50,MLP_original,0.9138362638990324,0.8960000865930146,0.9138362638990324,0.9798970353795705,"[[422, 0, 0, 0, 0, 0], [0, 161, 3, 0, 0, 1], [25, 32, 1400, 55, 66, 366], [1, 0, 6, 2068, 0, 2], [6, 3, 22, 1, 278, 40], [0, 1, 3, 1, 1, 2094]]"
50,50,RF_latent_zero,0.9217151717618951,0.8853129566097367,0.9217151717618951,0.9841848688651246,"[[421, 0, 1, 0, 0, 0], [0, 161, 3, 0, 0, 1], [5, 128, 1515, 68, 29, 199], [1, 2, 3, 2070, 0, 1], [0, 13, 22, 8, 274, 33], [0, 0, 2, 2, 0, 2096]]"
50,50,MLP_latent_zero,0.9145727825158628,0.8656007756649067,0.9145727825158628,0.9818918417480283,"[[422, 0, 0, 0, 0, 0], [0, 161, 2, 0, 1, 1], [18, 136, 1428, 93, 75, 194], [3, 2, 0, 2071, 0, 1], [6, 9, 18, 5, 274, 38], [0, 0, 2, 3, 1, 2094]]"
50,50,RF_few,0.7200366836383175,0.7797194359051837,0.7200366836383175,0.9801973174096643,"[[119, 0, 288, 15, 0, 0], [0, 79, 86, 0, 0, 0], [1, 0, 1923, 14, 0, 6], [1, 0, 42, 2033, 0, 1], [0, 0, 138, 1, 209, 2], [0, 0, 12, 0, 0, 2088]]"
50,50,MLP_few,0.9260325933682011,0.9275838056600848,0.9260325933682011,0.9901381521164613,"[[392, 0, 22, 8, 0, 0], [0, 159, 6, 0, 0, 0], [9, 30, 1767, 13, 12, 113], [1, 1, 9, 2065, 0, 1], [3, 6, 40, 1, 267, 33], [1, 0, 4, 0, 0, 2095]]"
50,50,FT_full_RF,0.9479176956933517,0.9499141328841644,0.9479176956933517,0.9938229109775311,"[[417, 0, 5, 0, 0, 0], [0, 161, 4, 0, 0, 0], [3, 23, 1853, 14, 7, 44], [1, 0, 12, 2064, 0, 0], [0, 4, 55, 0, 273, 18], [0, 0, 6, 0, 1, 2093]]"
50,50,FT_full_MLP,0.9449151860646432,0.9475651368196285,0.9449151860646432,0.9924182457739984,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [4, 21, 1806, 14, 9, 90], [1, 0, 10, 2065, 0, 1], [0, 3, 47, 0, 272, 28], [0, 0, 4, 0, 0, 2096]]"
50,50,FT_freeze_RF,0.948197669930233,0.9515618255365447,0.948197669930233,0.9936869093487717,"[[420, 0, 2, 0, 0, 0], [0, 161, 4, 0, 0, 0], [5, 18, 1848, 14, 8, 51], [1, 0, 12, 2064, 0, 0], [0, 4, 53, 0, 272, 21], [0, 0, 6, 1, 0, 2093]]"
50,50,FT_freeze_MLP,0.9491044674370911,0.9503482878255413,0.9491044674370911,0.9936759777043012,"[[421, 0, 1, 0, 0, 0], [0, 161, 4, 0, 0, 0], [6, 20, 1841, 15, 11, 51], [1, 1, 10, 2065, 0, 0], [0, 3, 51, 0, 274, 22], [0, 0, 5, 0, 1, 2094]]"
50,100,RF_original,0.9063787849325214,0.8496102595282776,0.9063787849325214,0.97925454696085,"[[422, 0, 0, 0, 0, 0], [1, 161, 0, 0, 2, 1], [20, 210, 1338, 54, 32, 290], [2, 2, 3, 2069, 0, 1], [3, 21, 12, 1, 273, 40], [0, 0, 1, 2, 1, 2096]]"
